[quest]|en|fi|pt|ru|zh|ja|ko|de
||||||||
quest_name_402|Gates of Valhalla|Valhallan portit|Gates of Valhalla|Gates of Valhalla|Gates of Valhalla|Gates of Valhalla|Gates of Valhalla|Gates of Valhalla
quest_description_402|Return to Act 8 Zone 2 and enter Valhalla. |Mene Valhallaan.|Enter Valhalla. |Enter Valhalla. |Enter Valhalla. |Enter Valhalla. |Enter Valhalla. |Enter Valhalla. 
quest_objective_402_1|Valhalla entered|Valhalla entered|Valhalla entered|Valhalla entered|Valhalla entered|Valhalla entered|Valhalla entered|Valhalla entered
||||||||
quest_name_403|Access Denied|Pääsy evätty|Access Denied|Access Denied|Access Denied|Access Denied|Access Denied|Access Denied
quest_description_403|Find a way forward through the caves.|Find a way forward through the caves.|Find a way forward through the caves.|Find a way forward through the caves.|Find a way forward through the caves.|Find a way forward through the caves.|Find a way forward through the caves.|Find a way forward through the caves.
quest_objective_403_1|Cave explored|Luola tutkittu|Cave explored.|Cave explored.|Cave explored.|Cave explored.|Cave explored.|Cave explored.
||||||||
quest_name_404|Eternal Peace|Ikuinen rauha|Eternal Peace|Eternal Peace|Eternal Peace|Eternal Peace|Eternal Peace|Eternal Peace
quest_description_404|Help Astrid find her childs Toy Bear in Act 8 Zone 4.|Help the souls in the camp.|Help the souls in the camp.|Help the souls in the camp.|Help the souls in the camp.|Help the souls in the camp.|Help the souls in the camp.|Help the souls in the camp.
quest_objective_404_1|Toy found|Lelu löydetty|Toy found.|Toy found.|Toy found.|Toy found.|Toy found.|Toy found.
||||||||
quest_name_405|Purge|Puhdistus|Purge|Purge|Purge|Purge|Purge|Purge
quest_description_405|Slay the Corrupted Refugees in Act 8 Zone 4.|Slay the corrupted souls.|Slay the corrupted souls.|Slay the corrupted souls.|Slay the corrupted souls.|Slay the corrupted souls.|Slay the corrupted souls.|Slay the corrupted souls.
quest_objective_405_1|Corrupted souls slain|Sielut surmattu|Souls slain.|Souls slain.|Souls slain.|Souls slain.|Souls slain.|Souls slain.
||||||||
quest_name_406|River Rapids|River Rapids|River Rapids|River Rapids|River Rapids|River Rapids|River Rapids|River Rapids
quest_description_406|Travel to Helheim through River Gjöll.|Travel to Helheim through River Gjöll.|Travel to Helheim through River Gjöll.|Travel to Helheim through River Gjöll.|Travel to Helheim through River Gjöll.|Travel to Helheim through River Gjöll.|Travel to Helheim through River Gjöll.|Travel to Helheim through River Gjöll.
quest_objective_406_1|Helheim reached|Helheim saavutettu|Helheim reached.|Helheim reached.|Helheim reached.|Helheim reached.|Helheim reached.|Helheim reached.
||||||||
quest_name_407|Destiny|Kohtalo|Destiny|Destiny|Destiny|Destiny|Destiny|Destiny
quest_description_407|Slay Corrupted Odin.|Surmaa korruptoitunut Odin.|Slay Corrupted Odin.|Slay Corrupted Odin.|Slay Corrupted Odin.|Slay Corrupted Odin.|Slay Corrupted Odin.|Slay Corrupted Odin.
quest_objective_407_1|Odin slain|Odin surmattu|Odin slain.|Odin slain.|Odin slain.|Odin slain.|Odin slain.|Odin slain.
||||||||
quest_name_408|The Awesome Ring - part 1|||||||
quest_description_408|Collect lots of braggite.|||||||
quest_objective_408_1|Braggite collected|||||||
||||||||
quest_name_409|Mystery Key|||||||
quest_description_409|Find out where the key goes to.|||||||
quest_objective_409_1|Find the owner of the key.|||||||
||||||||
quest_name_410|The Awesome Ring - part 2|||||||
quest_description_410|Collect Essence of the Gods from bosses.|||||||
quest_objective_410_1|Essence of the Gods collected|||||||
||||||||
quest_name_411|The Awesome Ring - part 3|||||||
quest_description_411|Find your desired Awesome Gem.|||||||
quest_objective_411_1|Gem collected|||||||
||||||||
quest_name_420|Chains of Gold|||||||
quest_description_420|Mine and transport 20 kg of gold from the fallen chains to safety.|||||||
quest_objective_420_1|kg gold transported|||||||
quest_objective_420_2|Troll patrol slain|||||||
||||||||
quest_name_430|Hungry Haldor|||||||
quest_description_430|Get the meat of a delicious hog.|||||||
quest_objective_430_1|Meat collected|||||||
quest_objective_430_2|Meat cooked|||||||
||||||||
quest_name_431|Hurrdurr’s Rollercoaster|||||||
quest_description_431|Find and attach wheels to Hurrdurr’s cart.|||||||
quest_objective_431_1|Wheels found|||||||
quest_objective_431_2|Wheels attached|||||||
||||||||
quest_name_432|Balldur Muspelheim|||||||
quest_description_432|Do the thing|||||||
quest_objective_432_1|Thing done|||||||
||||||||
quest_name_433|Frøya’s Scale Armor|||||||
quest_description_433|Collect Naga scales and return them to Frøya in Act 8 Zone 2.|||||||
quest_objective_433_1|Scales collected|||||||
||||||||
quest_name_434|Tired Viking|||||||
quest_description_434|Find potion reagents and conjure it in Act 8 Zone 5.|||||||
quest_objective_434_1|Doom weed|||||||
quest_objective_434_2|Water from Gjöll|||||||
quest_objective_434_3|Corrupted dirt|||||||
quest_objective_434_4|Potion conjured|||||||
||||||||
[Valhalla dailies]||||||||
quest_name_440|River Raider|||||||
quest_description_440|Complete River Gjöll minigame.|||||||
quest_objective_440_1|Jörmungar slain|||||||
quest_dialog_440|Gjallarknut here! Remember me? We had an epic adventure on river Gjöll and gave that big snake a good whoop! But alas, it's back eating my customers! I'll reward you if you're up for another whooping.|||||||
||||||||
quest_name_441|The Golden Heist |||||||
quest_description_441|Retrieve the Golden Warrior statue from Gladsheim.|||||||
quest_objective_441_1|Statue collected|||||||
quest_dialog_441|I know this job is no for a hero, but to be one you sometimes need to take a dip to the dark side. Inside the walls of Gladsheim Halls is hidden a precious little statue, the Golden Warrior portraying the Leader of Valkyries. I wa... WE need it, for uhm.. MUSEUM! Yes, a museum of.. statues... Anyway, we pay a handsome amount of rubies for it. |||||||
||||||||
quest_name_442|Naga Treasury |||||||
quest_description_442|Retrieve the Golden Snake amulet from Naga Temple.|||||||
quest_objective_442_1|Amulet found|||||||
quest_objective_442_2|Temple escaped|||||||
quest_dialog_442|Rumor has it that the Naga Temple holds the greatest treasury in Valhalla. It is also said to be the home of the Golden Snake amulet. Find it, and bring it here for my collection. Beware: Nagas are known to be sneaky and mischievous, your way back might not be as easy as you think. |||||||
||||||||
quest_name_443|The Crown of Surtr |||||||
quest_description_443|Remove Surtr's crown in Muspelheim.|||||||
quest_objective_443_1|Crown removed|||||||
quest_dialog_443|In the realm of fire and lava stands Surtr, forever chained to his realm. For eons he has been dormant, turned into obsidian statue that merely displays a fraction of his burning soul. But something is happening, signs indicate he's waking up. We need a hero who could pull of the impossible: get Surtr's crown off of him, it's the source of his power. Good luck to the brave soul who might attempt this. |||||||
||||||||
quest_name_444|Grim Skull |||||||
quest_description_444|Find the mystical skull in Niflhel.|||||||
quest_objective_444_1|Skull collected|||||||
quest_dialog_444|There is an old tale of a great and respected warrior who lost his life and was sent to Niflhel to rot. His skull is rumored to be somewhere in there collected by the legendary beast Grimbone and it’s said to hold some mystical powers. Find the skull and return it here, perhaps we would find some use for it. |||||||
||||||||
quest_name_445|Daily Hunt|||||||
quest_description_445|Find [daily_hunt_enemy] in Act [daily_hunt_act].|||||||
quest_objective_445_1|[daily_hunt_enemy] slain|||||||
quest_dialog_445|WANTED: [daily_hunt_enemy], for crimes against humanity and the kingdom of Tarethiel. Last seen in Act [daily_hunt_act]. Reward for proof of demise.|||||||
||||||||
quest_name_446|Mysterious Fragment|||||||
quest_description_446|Seems like something Örre would like|||||||
quest_objective_446_1|Find Örre the blacksmith|||||||
||||||||
quest_name_447|The Awesome Signet – part 1|||||||
quest_description_447|Find Rainbow Fragments|||||||
quest_objective_447_1|Fragments collected|||||||
||||||||
quest_name_448|The Awesome Signet - part 2|||||||
quest_description_448|Collect Essence of the Gods from bosses.|||||||
quest_objective_448_1|Essence of the Gods collected|||||||
||||||||
quest_name_449|The Awesome Signet - part 3|||||||
quest_description_449|Find your desired Awesome Gem.|||||||
quest_objective_449_1|Gem collected|||||||
||||||||
[HS 2.0 ACT SIDEQUESTS]||||||||
||||||||
quest_name_500|Pest Control|||||||
quest_description_500|Find and kill Fragrat in Rat Den|||||||
quest_objective_500_1|Fragrat slain|||||||
||||||||
||||||||
quest_name_501|Hunger Issue|||||||
quest_description_501|Collect ingredients to the maggot stew and cook it|||||||
quest_objective_501_1|Maggots collected|||||||
quest_objective_501_2|Crimson Pumpkins harvested|||||||
quest_objective_501_3|Maggot stew cooked|||||||
||||||||
quest_name_502|Murder of Crows|||||||
quest_description_502|Find Ahriman's spellbook in Gurag's dungeon|||||||
quest_objective_502_1|Spellbook found|||||||
||||||||
quest_name_503|Help Anita|||||||
quest_description_503|Collect ginseng plants|||||||
quest_objective_503_1|Ginseng collected|||||||
||||||||
quest_name_504|Lost Belongins|||||||
quest_description_504|Find Anita's Herbs|||||||
quest_objective_504_1|Herb Pouch|||||||
quest_objective_504_2|Frost Dill|||||||
quest_objective_504_3|Loska|||||||
quest_objective_504_4|Vermroot|||||||
quest_objective_504_5|Fanglen|||||||
||||||||
quest_name_505|The Revenant|||||||
quest_description_505|Track and kill Carnage at the Glacial Trail|||||||
quest_objective_505_1|Track Carnage|||||||
quest_objective_505_2|Kill Carnage|||||||
quest_objective_505_3|Skin Carnage's hide|||||||
||||||||
quest_name_506|Whip It Good|||||||
quest_description_506|Find Jasper's whip at Mos'Arathim Desert|||||||
quest_objective_506_1|Whip collected|||||||
||||||||
quest_name_507|We Are Gonna Be Rich!|||||||
quest_description_507|Find the Ancient Map in Cauflax Tomb|||||||
quest_objective_507_1|Map found|||||||
||||||||
quest_name_508|Raider of the Lost Staff|||||||
quest_description_508|Find Staff of Anubis inside Mysterious Pyramid|||||||
quest_objective_508_1|Staff found|||||||
||||||||
quest_name_509|Devil's Cabbage|||||||
quest_description_509|Collect herbs for Ragnar in Old Copper Mine|||||||
quest_objective_509_1|Devil's Cabbage collected|||||||
||||||||
quest_name_510|Search for Hurrdurr – part 1|||||||
quest_description_510|Find out what happened to Hurrdurr|||||||
quest_objective_510_1|Abandoned Mine searched|||||||
||||||||
quest_name_511|Search for Hurrdurr – part 2|||||||
quest_description_511|Find Hurrdurr in Damien's Altar|||||||
quest_objective_511_1|Hurrdurr located|||||||
quest_objective_511_2|Knights defeated|||||||
quest_objective_511_3|Hurrdurr raptured|||||||
||||||||
quest_name_512|Bamboozled|||||||
quest_description_512|Gather materials for fishing equipment|||||||
quest_objective_512_1|Bamboo sticks|||||||
quest_objective_512_2|Rod crafted|||||||
||||||||
quest_name_513|Hook on the Line|||||||
quest_description_513|Find spiderwebs and a viable hook|||||||
quest_objective_513_1|Spiderwebs|||||||
quest_objective_513_2|Hook|||||||
||||||||
quest_name_514|Fish for the Greedy|||||||
quest_description_514|Find Aki in Temple of Zamjo and rescue him|||||||
quest_objective_514_1|King Tuna slain|||||||
quest_objective_514_2|Aki rescued|||||||
||||||||
quest_name_515|The Eternal Chalice|||||||
quest_description_515|Get the Eternal Chalice in the Steam Train|||||||
quest_objective_515_1|Eternal Chalice collected|||||||
||||||||
quest_name_516|Souls of the Damned|||||||
quest_description_516|Harvest the souls in Prison, find a seal in Unmarked Graves and purify the souls|||||||
quest_objective_516_1|Souls harvested|||||||
quest_objective_516_2|Souls purified|||||||
||||||||
||||||||
quest_name_517|Lilith|||||||
quest_description_517|...|||||||
quest_objective_517_1|Kill Lilith|||||||
quest_objective_517_2|Lilith's Black Heart taken|||||||
||||||||
quest_name_518|The Perfect Spot|||||||
quest_description_518|Clear the area around Moira's telescope in Deep Space|||||||
quest_objective_518_1|Area cleared|||||||
||||||||
quest_name_519|Drink Tea|||||||
quest_description_519|Drink stardust infused tea|||||||
quest_objective_519_1|Tea drunk|||||||
||||||||
quest_name_520|Stardust Poisoning|||||||
quest_description_520|Find antidote in Distorted Horizons|||||||
quest_objective_520_1|Antidote found|||||||
quest_objective_520_2|Antidote consumed|||||||
||||||||
quest_name_521|The Bestest Tea|||||||
quest_description_521|Find ingredients at the Parallel Dimension|||||||
quest_objective_521_1|Cosmic Roots|||||||
quest_objective_521_2|Nebula Lily|||||||
quest_objective_521_3|Anti-matter shroom|||||||
quest_objective_521_4|Schrödinger's Cat|||||||
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
[MAIN QUEST]||||||||
quest_name_1000|Corrupted Nature|||||||
quest_description_1000|Kill Scorchwood in the River of Inoya.|||||||
quest_objective_1000_1|Scorchwood killed|||||||
||||||||
quest_name_1001|Sarcaster's coffee beans|Sarcasterin kahvipavut|Os grãos de café de Sarcaster|Кофе в зернах Саркастера|萨卡斯特的咖啡豆|サーカスターのコーヒー豆|사캐스터의 커피  콩|Sarcasters Kaffeebohnen
quest_description_1001|Retrieve Sarcaster's coffee beans from Act I Zone I Waypoint.|Hae Sarcasterin kahvipavut tason I alueen I reittipisteeltä.|Recupere os grãos de café de Sarcaster no Waypoint da Zona I do Act I.|Верните кофейные зёрна Саркастера с Путевой точки Акта 1, Зоны 1|从第一章第 I 幕的传送点取回萨卡斯特咖啡豆。|幕 I のゾーン I のボスからサーカスターのコーヒー豆を取り戻してください。|액트 I의 첫 번째 구역 보스에게서 사캐스터의 커피 콩을 되찾아오십시오!|Sammle Sarcasters Kaffeebohnen von Wegpunkt AKT I Zone I.
quest_objective_1001_1|Coffee beans retrieved.|Kahvipavut haettu.|Grãos de café recuperados.|Кофе в зернах восстановлен.|已取得咖啡豆。|コーヒー豆が取り戻されました。|되찾은 커피 콩.|Kaffeebohnen gesammelt.
||||||||
quest_name_1002|Bricks.. So many Bricks|Tiiliä... Niin paljon tiiliä|Tijolos... Tantos tijolos|Кирпичи... так много кирпичей|砖块…好多砖块|レンガ…たくさんのレンガ|벽돌이.. 너무나 많네|Ziegel .. So viele Ziegel
quest_description_1002|Collect Bricks from boxes.|Kerää tiiliä laatikoista.|Colete tijolos de caixas.|Соберите кирпичи из коробок.|从盒子里收集砖块。|箱からレンガを集めましょう。|상자에서 벽돌을 모으십시오.|Sammle Ziegel ??aus Kisten.
quest_objective_1002_1|Bricks collected.|Tiiltä kerätty.|Tijolos coletados.|Кирпичи собраны.|已收集砖块。|レンガが集められました。|모은 벽돌.|Ziegel gesammelt.
||||||||
quest_name_1003|Hot Water|Kuumaa vettä|Água quente|Горячая вода|热水|お湯|뜨거운 물|Heisses Wasser
quest_description_1003|Collect hot water from Act I Zone III.|Kerää kuumaa vettä tason I alueelta III.|Colete água quente da Act I Zona III.|Соберите горячую воду из Акта I, Зона III.|从章节I地区III收集热水。|幕 I のゾーン III からお湯を集めましょう。|액트 I의 세 번째 구역에서 뜨거운 물을 모으십시오.|Sammle heisses Wasser aus AKT I Zone III
quest_objective_1003_1|Hot water collected|Kuumaa vettä kerätty.|Água quente coletada.|Горячая вода собрана.|已收集热水。|お湯が集められました。|모은 뜨거운 물.|Heisses Wasser gesammelt.
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
||||||||
quest_name_1021|Purging the Lands|||||||
quest_description_1021|Collect body parts from monsters and bring them to Dr. Tinkerdink in the Fields of Battle.|||||||
quest_objective_1021_1|Body parts collected|Ruumiinosia kerätty|Partes do corpo coletadas|Собранные части тела|已收集身体部位|ボディパーツが集められました|모은 신체 조각|Koerperteile gesammelt
||||||||
quest_name_1022|Shock Therapy|Shokkiterapiaa|Terapia de choque|Шоковая терапия|惊吓疗法|ショック・セラピー|충격 요법|Schocktherapie
quest_description_1022|Use the Shocker-3000 to shock monsters.|Käytä Sähkötin-3000 vihollisten sähkötykseen.|Usar o Shocker-3000 para chocar os inimigos.|Используйте Шокер-3000, чтобы шокировать врагов.|用惊吓者-3000惊吓敌人。|ショッカー-3000を使って敵に衝撃を与えてください。|적들에게 쇼커-3000을 사용하십시오.|Verwende den Shocker-3000, um Feinde zu schocken.
quest_objective_1022_1|Enemies shocked|Vihollista sähkötetty|Inimigos chocados|Враги в шоке|已惊吓敌人|敵が衝撃を受けました|충격받은 적.|Feinde geschockt
||||||||
quest_name_1023|Corruptor of the Forest|Metsän korruptoija|Corruptor da Floresta|Корруптор леса|森林的腐化者|森の破壊者|숲 파괴자|Verderber des Waldes
quest_description_1023|Find Gurag in King’s Throne and kill him! Report to Gunhild Yngouf in Danethorpe.|||||||
quest_objective_1023_1|Gurag slain|Gurag surmattu|Gurag morto|Гураг убит|已杀死古拉格|グラゴが殺されました|구라그 처치|Gurag getoetet
||||||||
quest_name_1024|Provide your aid|||||||
quest_description_1024|Kill monsters in the lands of Danethorpe. Meet Halstein at the Chilling Lake to claim your reward.|||||||
quest_objective_1024_1|Frost Goblins slain|||||||
quest_objective_1024_2|Frost Skeletons slain|||||||
quest_objective_1024_3|Frost Dragons slain|||||||
||||||||
||||||||
quest_name_1025|Icy Enchanters|Jäiset lumoajat|Encantadores Gelados|Ледяные чародеи|寒冰咏唱者|アイシーエンチャンター|냉기를 부르는 자|Eisige Zauberer
quest_description_1025|Interrupt frozen portals in Snowy Mountains and meet me at the entrance of the Glacial Trail!|||||||
quest_objective_1025_1|Portals interrupted|Portaalia estetty|Portais interrompidos|Порталы прерваны|已干扰传送门|ポータルが中断されました|닫은 포탈.|Portalebeschoerung unterbrochen
||||||||
quest_name_1026|Death Itself|Itse kuolema|A própria morte|Сама Смерть|死亡本身|死そのもの|죽음 그 자체|Selbst ist der Tod
quest_description_1026|Kill Grim Reaper Death’s Breach!|Surmaa Viikatemies tasossa II.|Mate o Ceifador no ATO II.|Убить мрачного жнеца в акте II.|杀死章节II的死神。|幕 II でグリム・リーパーを殺してください。|액트 II의사신을 처치하십시오.|Besiege den Sensenmann in AKT II.
quest_objective_1026_1|Grim Reaper slain|Viikatemies surmattu|Ceifador morto|Мрачный Жнец убит|已杀死死神|グリム・リーパーが殺されました|사신 처치.|Sensenmann getoetet
||||||||
quest_name_1027|Save the Innocent!|Pelasta viattomat!|Salve os inocentes!|Спаси невинных!|拯救无辜者！|無実な人たちを救え！|결백한 사람들 구하기!|Rette die Unschuldigen!
quest_description_1027|Escort prisoners to the Way Point around the Mos’Arathim Desert.|||||||
quest_objective_1027_1|Prisoners saved|Vankia pelastettu|Prisioneiros salvos|Заключенные спасены|已拯救囚徒|囚人を救いました|구출한 죄수.|Gefangene gerettet
||||||||
quest_name_1028|Purify the sands of Mos’Arathim|||||||
quest_description_1028|Slay monsters around the desert and meet me in the second floor of the Pyramid.|||||||
quest_objective_1028_1|Skeletons slain|Luurankoa surmattu|Esqueletos mortos|Скелеты убиты|已杀死骷髅|スケルトンが殺されました|처치한 해골|Skelette getoetet
quest_objective_1028_2|Orcs slain|Örkkiä surmattu|Orcs slain|Orcs slain|Orcs slain|Orcs slain|Orcs slain|Orcs slain
quest_objective_1028_3|Desert Beasts slain|Hiekkapetoja surmattu|Bestas do deserto mortas|Пустынные звери убиты|已杀死沙漠野兽|砂漠の獣が殺されました|처치한 사막 야수|Wuestentiere getoetet
quest_objective_1028_4|Sand Wasps slain|Hiekka-ampiaista surmattu|Vespas de areia mortas|Песчаные осы убиты|已杀死沙漠黄蜂|砂のスズメバチが殺されました|처치한 모래 말벌|Sandwespen getoetet
quest_objective_1028_5|Mummies slain|Muumiota surmattu|Múmias mortas|Мумии убиты|已杀死木乃伊|ミイラが殺されました|처치한 미라|Mumien toeten
quest_objective_1028_6|Shadow Anomalies slain|Varjo-olentoa surmattu|Anomalias das Sombras mortas|Аномалии Теней убиты|已杀死阴影恶魔|影の異常が殺されました|처치한 그림자 이상|Shadow Anomalies getoetet
||||||||
quest_name_1029|Protector of Graves|Hautojen suojelija|Protetor de Sepulturas|Защитник Могил|坟墓守护者|墓穴の守護者|무덤의 수호자|Beschuetzer des Pharaonengrabes
quest_description_1029|Kill Anubis in the Tomb of the Fallen King!|Surmaa Anubis tasossa III.|Mate Anúbis no ATO III.|Убить Анубиса в третьем акте III.|杀死章节III的阿努比斯。|幕 III でアヌビスを殺してください。|액트 III의 아누비스를 처치하십시오.|Toetet Anubis in AKT III.
quest_objective_1029_1|Anubis slain|Anubis surmattu|Anúbis morto|Анубис убит|已杀死阿努比斯|アヌビスが殺されました|아누비스 처치.|Anubis getoetet
||||||||
quest_name_1030|Dungeon Master|Luolamestari|Dungeon Master|Dungeon Master|Dungeon Master|Dungeon Master|Dungeon Master|Dungeon Master
quest_description_1030|Clear the Old Copper Mine nearby the Old Mining Village!|||||||
quest_objective_1030_1|Collector of Bones slain|||||||
||||||||
quest_name_1031|Prove Yourself|Näytä taitosi|Provar a si mesmo|Докажи себя|证明自己|自分を証明する|네 자신을 증명하라|Sich selbst beweisen
quest_description_1031|Kill enemies with the Flail.|Surmaa vihollisia varstalla.|Mate os inimigos com o mangual.|Убей врагов с помощью Цепи.|用连枷杀死敌人。|からざおを使って敵を殺してください。|철퇴로 적들을 처치하십시오.|Toete Feinde mit dem Dreschflegel.
quest_objective_1031_1|Enemies slain|Vihollista surmattu|Inimigos mortos|Враги убиты|已杀死敌人|敵が殺されました|처치한 적|Gegner getoetet
||||||||
quest_name_1032|Damien, Son of Satan|Damien, Saatanan poika|Damien, filho de Satanás|Дэмиен, сын сатаны|达米安，撒旦之子|ダミアン、サタンの子|사탄의 아들, 데미언|Damien, Sohn Satans
quest_description_1032|Kill Damien in the Altar of Lost Souls!|||||||
quest_objective_1032_1|Damien slain|Damien surmattu|Damien morto|Дэмиен убит|已杀死达米安|ダミアンが殺されました|데미언 처치.|Damien wurde getoetet
[KARP OF DOOM]||||||||
quest_name_1033|Corrupted Statues|Korruptoituneet patsaat|Estátuas corrompidas|Поврежденные статуи|腐败的雕像|壊れた彫像|부패한 조각상|Verderbte Statuen
quest_description_1033|Destroy corrupted statues around Mt. Fuji and Misty Swamps.|||||||
quest_objective_1033_1|Corrupted statues destroyed|Patsasta tuhottu|Estátuas corrompidas destruídas|Поврежденные статуи уничтожены|损坏的雕像被摧毁|壊れた彫像が破壊された|타락한 조각상 파괴|Verderbte Statuen zerstört
||||||||
quest_name_1034|Stop the Invasion|Pysäytä tunkeutujat|Pare a invasão|Остановить вторжение|阻止入侵|侵略を止める|침략을 중지|Stoppen Sie die Invasion
quest_description_1034|Bomb the ships at the edge of Fuji Coast!|Pommita veneitä tason V alueen III laidalla.|Bombardeie os navios na borda da Act V Zone III.|Бомбить корабли на краю Акта V Зона III.|轰炸第五战 区边缘的船只。|幕 V ゾーン III の端に船を爆撃します。|액트 V 구역 III의 가장자리에서 배를 폭격.|Bombardieren Sie die Schiffe am Rande von Act V Zone III.
quest_objective_1034_1|Ships sunk|Venettä upotettu|Navios afundados|Корабли потоплены|船舶沉没|沈没した船|선박 침몰|Schiffe versenkt
||||||||
quest_name_1035|We Feast on Fish|Kalasaalis|Nós nos banqueteamos com peixes|Мы наслаждаемся рыбой|我们吃鱼|魚を食べる|우리는 물고기를 잔치|Wir essen Fisch
quest_description_1035|Capture fishes with fish trap in the Sea of Karponia and  Temple of Zamjo.|Saalista kalaa kala-ansalla tason V alueella IV tai V.|Capturar peixes com armadilha de peixes na Act V, Zona IV ou V.|Ловите рыбу с ловушкой в Акте V, Зоне IV или V.|在第 V 区 IV 或 V 区使用诱捕 器捕获鱼类。|幕 V ゾーン IV または V のフィッシュ トラップで魚 を捕まえます。|행위 V 영역 IV 또는 V에서 물고기 함정으로 물고기를 잡습니다.|Fangen Sie Fische mit Fischfalle in Akt V Zone IV oder V.
quest_objective_1035_1|Fishes captured|Kalaa|Peixes capturados|Рыбы пойманы|捕获的鱼|捕獲した魚|잡은 물고기|Fische gefangen
||||||||
quest_name_1036|Sushi Time!|Sushi-aika!|Hora do sushi!|Время суши!|寿司时间！|寿司タイム！|스시 시간!|Sushi-Zeit!
quest_description_1036|Kill Karp King in the Emperor’s Chamber!|||||||
quest_objective_1036_1|Karp King killed|Karppikuningas surmattu|Karp King morto|Карп Кинг убит|卡普·金被杀|殺されたカープキング|잉어 왕 사망|Karp King getötet
[DEPTHS OF HELL]||||||||
quest_name_1037|Preparation|Valmistautuminen|Preparação|Подготовка|制备|準備|예비|Vorbereitung
quest_description_1037|Collect essence and retrieve Book of Command from the Graveyard!|||||||
quest_objective_1037_1|Book of Command|Komentokirja|Livro de Comando|Книга командования|命令书|支配の書|커맨드 북|Buch der Beherrschung
quest_objective_1037_2|Essence|Esanssia|Essência|Сущность|本质|エッセンス|본질|Essenz
||||||||
quest_name_1038|Shut Down|Sammutus|Desligar|Неисправность|关掉|シャットダウン|셧다운|Herunterfahren
quest_description_1038|Close demonic portals around the Cathedral and Prison|||||||
quest_objective_1038_1|Portals closed|Portaalia suljettu|Portais fechados|Порталы закрыты|门户关闭|閉じたポータル|포털 폐쇄|Portale geschlossen
||||||||
quest_name_1039|Highway to Hell|Valtatie Helvettiin|Estrada para o inferno|Шоссе в ад|通向地狱的公路|地獄へのハイウエイ|지옥으로가는 고속도로|Autobahn zur Hölle
quest_description_1039|Clear cogs out of mysterious vines in the Steam Train.|||||||
quest_objective_1039_1|Cogs cleared|Rattaita puhdistettu|Rodas dentadas limpas|Винтики очищены|齿轮已清除|クリアされた歯車|톱니가 깨끗해짐|Zahnräder geräumt
||||||||
quest_name_1040|Summon Satan|Kutsu Saatana|Convocar Satanás|Призвать сатану|召唤撒旦|サタン召喚|사탄 소환|Beschwöre Satan
quest_description_1040|Kill Satan in the Seventh Layer of Hell!|||||||
quest_objective_1040_1|Satan killed|Saatana surmattu|Satanás matou|Сатана убит|撒旦被杀|サタンが殺された|사탄이 살해되다|Satan getötet
[WRATH OF MEVIUS]||||||||
quest_name_1041|Technology is Great|Teknologia on siistiä|A tecnologia é ótima|Технология отличная|技术很棒|テクノロジーは素晴らしい|기술은 대단하다|Technologie ist großartig
quest_description_1041|Suck black holes with Sucker-5000 in Act VII Zone I.|Ime mustia-aukkoja Imuri-5000:lla tason VII alueella I.|Chupe buracos negros com Otário-5000 na Act VII Zona I.|Соси черные дыры с Присоска-5000 в акте VII зоны I.|在第七幕 I 区使用 吸力枪-5000 吸黑洞。|幕 VII ゾーン I の サッカー-5000 で ブラックホール を吸います。|행위 VII 영역 I에서 써커-5000으로 블랙홀을 빨아들입니다.|Saugen Sie schwarze Löcher mit Sauger-5000 in Akt VII Zone I.
quest_objective_1041_1|Black holes captured|Mustaa-aukkoa kaapattu|Buracos negros capturados|Черные дыры захвачены|黑洞被捕获|捕獲されたブラックホール|블랙홀 캡처|Schwarze Löcher gefangen
||||||||
quest_name_1042|Lock & Load!|Lataa ja varmista!|Bloquear e carregar!|Блокировка и загрузка!|锁定并加载！|ロックしてロード！|잠금 및로드!|Sichern und Laden!
quest_description_1042|Use Sucker-5000-B to capture enemies in Act VII Zone II or III.|Kaappaa vihollisia Imuri-5000-B:llä tason VII alueella II tai III.|Usar Otário-5000-B para capturar inimigos na Act VII Zona II ou III.|Используйте Присоска-5000-B, чтобы захватить врагов в акте VII зоны II или III.|使用 吸力枪-5000-B 捕获第七幕 II 区或 III 区的敌人。|サッカー-5000-B を使用して、 幕 VII ゾーン II または III の敵をキャプ チャします。|써커-5000-B를 사용하여 행동 VII 구역 II 또는 III에서 적을 사로 잡으십시오.|Verwenden Sie Sauger-5000-B, um Feinde in Akt VII Zone II oder III zu fangen.
quest_objective_1042_1|Enemies captured|Vihollista kaapattu|Inimigos capturados|Враги захвачены|被捕获的敌人|捕獲された敵|적군|Feinde gefangen genommen
||||||||
quest_name_1043|Clear the Area!|Tyhjentäkää alue!|Limpe a área!|Очистить область!|清理区域！|エリアをクリアしてください！|지역을 비워 라!|Räumen Sie den Bereich!
quest_description_1043|Kill enemies in Act VII Zone IV and V.|Surmaa vihollisia tason VII alueilla IV ja V.|Mate inimigos no ATO VII, Zona IV e V.|Убить врагов в акте VII зоны IV и V.|在第 VII 区 IV 和 V 区杀死敌人。|幕 VII ゾーン IV および V で敵を倒す。|행동 VII 존 IV와 V에서 적을 처치하십시오.|Töte Feinde in Akt VII Zone IV und V.
